threshold,precision,recall,f1,tn,fp,fn,tp,predicted_fraud_count,positive_prediction_rate,trial_name,model_family
0.013678653165698051,0.05948459600852548,0.9903225806451613,0.11222811186254798,36941,48540,30,3070,51610,0.5826305866946636,xgb_d8_sqrt_weight,XGBoost
0.01355202216655016,0.0592468264073774,0.9906451612903225,0.11180689554738413,36718,48763,29,3071,51834,0.5851593456836116,xgb_d8_sqrt_weight,XGBoost
0.01343273464590311,0.0589918936570748,0.9906451612903225,0.11135284092969287,36494,48987,29,3071,52058,0.5876881046725596,xgb_d8_sqrt_weight,XGBoost
0.013302415609359741,0.05874026893135174,0.9906451612903225,0.11090446181903542,36271,49210,29,3071,52281,0.5902055745588783,xgb_d8_sqrt_weight,XGBoost
0.013179663568735123,0.05851094223187246,0.9909677419354839,0.11049763501969319,36050,49431,28,3072,52503,0.5927117553425678,xgb_d8_sqrt_weight,XGBoost
0.013048045337200165,0.05826347532526647,0.9909677419354839,0.11005624619352988,35827,49654,28,3072,52726,0.5952292252288865,xgb_d8_sqrt_weight,XGBoost
0.012919086031615734,0.05803807509254363,0.9912903225806452,0.10965600913502711,35606,49875,27,3073,52948,0.597735406012576,xgb_d8_sqrt_weight,XGBoost
0.01279666181653738,0.05781346974854714,0.9916129032258064,0.10925698850207034,35384,50097,26,3074,53171,0.6002528758988948,xgb_d8_sqrt_weight,XGBoost
0.012692634016275406,0.05757201183653594,0.9916129032258064,0.10882571600523948,35161,50320,26,3074,53394,0.6027703457852135,xgb_d8_sqrt_weight,XGBoost
0.012574625201523304,0.05733363175171591,0.9916129032258064,0.10839974610339236,34939,50542,26,3074,53616,0.6052765265689031,xgb_d8_sqrt_weight,XGBoost
0.01247289590537548,0.05711791366371945,0.9919354838709677,0.1080160179851061,34720,50761,25,3075,53836,0.6077601291473341,xgb_d8_sqrt_weight,XGBoost
0.012350295670330524,0.05689974102848687,0.9922580645161291,0.10762771168649404,34497,50984,24,3076,54060,0.610288888136282,xgb_d8_sqrt_weight,XGBoost
0.012227099388837814,0.05666703511292878,0.9922580645161291,0.10721132062319196,34275,51206,24,3076,54282,0.6127950689199716,xgb_d8_sqrt_weight,XGBoost
0.012111682444810867,0.0564545721414942,0.9925806451612903,0.10683285882924795,34054,51427,23,3077,54504,0.6153012497036611,xgb_d8_sqrt_weight,XGBoost
